#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	queryItem2	queryItem
Akt2	Hsp90aa1	10090.ENSMUSP00000103981	10090.ENSMUSP00000091921	0	0	0	0	0.061	0.478	0.815	0	0.901	Hsp90aa1	Akt2
Akt2	Hsp90ab1	10090.ENSMUSP00000103981	10090.ENSMUSP00000024739	0	0	0	0	0.061	0.478	0.789	0	0.887	Hsp90ab1	Akt2
Akt2	Hsp90ab1	10090.ENSMUSP00000103981	10090.ENSMUSP00000024739	0	0	0	0	0.061	0.478	0.789	0	0.887	Hsp90ab1	Akt2
Akt2	Eif4ebp1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033880	0	0	0	0	0.061	0.402	0.479	0	0.681	Eif4ebp1	Akt2
Akt2	Itgb4	10090.ENSMUSP00000103981	10090.ENSMUSP00000102068	0	0	0	0	0.066	0.057	0.479	0	0.501	Itgb4	Akt2
Akt2	Eif4ebp1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033880	0	0	0	0	0.061	0.402	0.479	0	0.681	Eif4ebp1	Akt2
Akt2	Gsk3b	10090.ENSMUSP00000103981	10090.ENSMUSP00000023507	0	0	0	0.588	0.061	0.528	0.932	0	0.967	Gsk3b	Akt2
Akt2	Eif4ebp1	10090.ENSMUSP00000103981	10090.ENSMUSP00000033880	0	0	0	0	0.061	0.402	0.479	0	0.681	Eif4ebp1	Akt2
Akt2	Ptges3	10090.ENSMUSP00000103981	10090.ENSMUSP00000050292	0	0	0	0	0	0.058	0.479	0	0.488	Ptges3	Akt2
Akt2	Ptges3	10090.ENSMUSP00000103981	10090.ENSMUSP00000050292	0	0	0	0	0	0.058	0.479	0	0.488	Ptges3	Akt2
Apoe	Bin1	10090.ENSMUSP00000133302	10090.ENSMUSP00000025239	0	0	0	0	0	0	0.54	0	0.54	Bin1	Apoe
Apoe	Bin1	10090.ENSMUSP00000133302	10090.ENSMUSP00000025239	0	0	0	0	0	0	0.54	0	0.54	Bin1	Apoe
Apoe	Map2	10090.ENSMUSP00000133302	10090.ENSMUSP00000076577	0	0	0	0	0	0.497	0	0	0.497	Map2	Apoe
Apoe	Map2	10090.ENSMUSP00000133302	10090.ENSMUSP00000076577	0	0	0	0	0	0.497	0	0	0.497	Map2	Apoe
Apoe	Map2	10090.ENSMUSP00000133302	10090.ENSMUSP00000076577	0	0	0	0	0	0.497	0	0	0.497	Map2	Apoe
Apoe	Map2	10090.ENSMUSP00000133302	10090.ENSMUSP00000076577	0	0	0	0	0	0.497	0	0	0.497	Map2	Apoe
Atad1	Canx	10090.ENSMUSP00000069962	10090.ENSMUSP00000020637	0	0	0	0	0.441	0.244	0	0	0.559	Canx	Atad1
Atp2a2	Atp2b1	10090.ENSMUSP00000031423	10090.ENSMUSP00000020107	0	0	0	0.67	0.092	0.654	0	0	0.672	Atp2b1	Atp2a2
Atp2a2	Atp2b1	10090.ENSMUSP00000031423	10090.ENSMUSP00000020107	0	0	0	0.67	0.092	0.654	0	0	0.672	Atp2b1	Atp2a2
Atp2a2	Bin1	10090.ENSMUSP00000031423	10090.ENSMUSP00000025239	0	0	0	0	0.062	0.401	0	0	0.414	Bin1	Atp2a2
